TALHAO;AREA_TALHAO;AREA_PARCELA;VCC
1;14,4;1000;7,9
1;14,4;1000;3,8
1;14,4;1000;4,4
1;14,4;1000;6,25
1;14,4;1000;5,55
1;14,4;1000;8,1
1;14,4;1000;6,1
1;14,4;1000;6,6
1;14,4;1000;7,4
1;14,4;1000;5,35
1;14,4;1000;5,9
1;14,4;1000;4,65
1;14,4;1000;4,25
1;14,4;1000;8,25
2;16,4;1000;10,2
2;16,4;1000;15,25
2;16,4;1000;13,4
2;16,4;1000;13,6
2;16,4;1000;14,2
2;16,4;1000;9,85
2;16,4;1000;10,2
2;16,4;1000;11,55
2;16,4;1000;9,25
2;16,4;1000;11,3
2;16,4;1000;13,95
2;16,4;1000;12,7
2;16,4;1000;10,15
2;16,4;1000;14,9
2;16,4;1000;10,8
2;16,4;1000;11,55
2;16,4;1000;13,9
2;16,4;1000;9,2
2;16,4;1000;12,45
2;16,4;1000;11,9
3;14,2;1000;10,65
3;14,2;1000;12,15
3;14,2;1000;14,6
3;14,2;1000;10,9
3;14,2;1000;16,55
3;14,2;1000;17,9
3;14,2;1000;13,35
3;14,2;1000;14,9
3;14,2;1000;9,7
3;14,2;1000;15,2
3;14,2;1000;13,45
3;14,2;1000;12,4
3;14,2;1000;14,45
3;14,2;1000;13,55
3;14,2;1000;12,3
3;14,2;1000;15,65
3;14,2;1000;14,2
3;14,2;1000;17,8
3;14,2;1000;14,8
3;14,2;1000;9,35
3;14,2;1000;12,6
3;14,2;1000;13,8
3;14,2;1000;15,85
